# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	3096
#@/user_id	xiaoyi-sp9
a 	啊	c=8 d=1.17034 t=3096
hao piao liang 	好漂亮	c=1 d=0.895834 t=3096
hao shi qing 	好事情	c=1 d=0.0380064 t=3096
hao tou 	號頭	c=1 d=0.66365 t=3096
hao xiang 	好像	c=16 d=2.81143 t=3096
hao yong 	好用	c=1 d=0.302704 t=3096
hao zao 	好早	c=1 d=0.873716 t=3096
hao zhu yi 	好主意	c=1 d=0.680451 t=3096
he 	合	c=2 d=0.0721841 t=3096
he 	和	c=6 d=1.81637 t=3096
he 	喝	c=2 d=1.50405 t=3096
he gai 	盒蓋	c=1 d=0.00660453 t=3096
he ge 	合格	c=1 d=0.367879 t=3096
he mu 	和睦	c=1 d=0.612626 t=3096
he xie 	和諧	c=1 d=0.585669 t=3096
he zhou 	喝粥	c=1 d=0.951229 t=3096
hei ka fei 	黑咖啡	c=1 d=0.0977834 t=3096
hen 	很	c=10 d=3.28037 t=3096
hen chang 	很長	c=1 d=0.918512 t=3096
hen da 	很大	c=1 d=0.882497 t=3096
hen duo 	很多	c=3 d=0.100168 t=3096
hen hao 	很好	c=2 d=0.182684 t=3096
hen hao yong 	很好用	c=1 d=0.923116 t=3096
hen ke xi 	很可惜	c=1 d=0.343009 t=3096
hen xiao 	很小	c=2 d=0.917315 t=3096
hen you yong 	很有用	c=1 d=0.895834 t=3096
hen zhen 	很真	c=1 d=0.0223708 t=3096
heng pai 	橫排	c=1 d=0.895834 t=3096
heng xiang 	橫向	c=4 d=2.92351 t=3096
hong se 	紅色	c=1 d=0.177284 t=3096
hou 	後	c=2 d=0.785523 t=3096
hou hai 	後海	c=1 d=0.194952 t=3096
hou lai 	後來	c=2 d=0.889466 t=3096
hou xu 	後續	c=1 d=0.063609 t=3096
hou xuan 	候選	c=2 d=1.11214 t=3096
hou zhui 	後綴	c=1 d=0.160414 t=3096
hua 	花	c=1 d=0.0285814 t=3096
hua 	話	c=26 d=8.00821 t=3096
hua mian 	畫面	c=1 d=0.0148464 t=3096
hua ming 	花名	c=3 d=0.478791 t=3096
hua yu 	話語	c=1 d=0.141564 t=3096
huai yun 	懷孕	c=1 d=0.546074 t=3096
huan 	換	c=2 d=0.252493 t=3096
huan cheng 	換成	c=3 d=0.117655 t=3096
huan jie 	環節	c=1 d=0.865022 t=3096
huan jie 	緩解	c=1 d=0.869358 t=3096
huan yi fu 	換衣服	c=1 d=0.0303487 t=3096
huang niu piao 	黃牛票	c=2 d=1.42498 t=3096
hui 	會	c=4 d=0.996871 t=3096
hui che 	回車	c=1 d=0.0281559 t=3096
hui fu 	回覆	c=1 d=0.034562 t=3096
hui fu 	恢復	c=1 d=0.0357931 t=3096
hui jia 	回家	c=2 d=0.514778 t=3096
hui lai 	回來	c=1 d=0.514274 t=3096
hui xin 	回信	c=1 d=0.847894 t=3096
hui yi 	會議	c=2 d=0.97531 t=3096
huo guo 	火鍋	c=1 d=0.301194 t=3096
huo zhe 	或者	c=1 d=0.50409 t=3096
ji 	機	c=0 d=0.00204453 t=3096
ji 	雞	c=0 d=0.0628419 t=3096
ji ben 	基本	c=1 d=0.128093 t=3096
ji ben shang 	基本上	c=2 d=0.421388 t=3096
ji bie 	級別	c=2 d=0.16604 t=3096
ji de 	記得	c=3 d=0.98387 t=3096
ji ge 	幾個	c=2 d=0.913258 t=3096
ji gei 	寄給	c=0 d=0.0116484 t=3096
ji gei ni 	寄給你	c=1 d=0.117068 t=3096
ji hua 	計劃	c=1 d=0.054204 t=3096
ji hui 	機會	c=1 d=0.0977834 t=3096
ji jiang 	即將	c=1 d=0.467666 t=3096
ji qi 	機器	c=1 d=0.241714 t=3096
ji ran 	既然	c=1 d=0.349938 t=3096
ji rou 	肌肉	c=1 d=0.19205 t=3096
